National-ID-Animal;Farm-ID-Animal;Transponder-ID;DateOfBirth;Sex;BirthWeight-Kg
276000312341001;1001;276000312341001;2023-07-03;F;
276000312341002;1002;276000312341002;2023-07-04;F;40.8
276000312341003;1003;276000312341003;2023-07-05;F;38.3
276000312341004;1004;276000312341004;2023-07-06;F;37.6
276000312341005;1005;276000312341005;2023-03-31;F;40.6
276000312341006;1006;276000312341006;2023-07-08;F;36.9
276000312341007;1007;276000312341007;2023-07-09;F;38.0
276000312341008;1008;276000312341008;2023-07-10;F;39.2
276000312341009;1009;276000312341009;2023-07-11;F;36.5
276000312341010;1010;276000312341010;2023-07-12;F;40.9
276000312341011;1011;276000312341011;2023-07-13;F;40.9
276000312341012;1012;276000312341012;2023-07-14;F;39.2
276000312341013;1013;276000312341013;2023-07-15;F;38.1
276000312341014;1014;276000312341014;2023-07-16;F;37.7
276000312341015;1015;276000312341015;2023-07-17;F;37.2
276000312342001;2001;276000312342001;2023-04-28;M;37.0
276000312342002;2002;276000312342002;2023-05-13;M;39.5
276000312342003;2003;276000312342003;2023-04-28;M;38.8
276000312342004;2004;276000312342004;2023-05-03;M;39.6
276000312342005;2005;276000312342005;2023-04-28;M;37.4
276000312342006;2006;276000312342006;2023-04-29;M;39.7
276000312342007;2007;276000312342007;2023-05-02;M;40.9
276000312342008;2008;276000312342008;2023-04-24;M;38.1
276000312342009;2009;276000312342009;2023-05-03;M;37.2
276000312342010;2010;276000312342010;2023-04-20;M;37.0
276000312342011;2011;276000312342011;2023-05-11;M;38.6
276000312342012;2012;276000312342012;2023-05-06;M;37.9
276000312342013;2013;276000312342013;2023-04-25;M;36.3
276000312342014;2014;276000312342014;2023-05-16;M;36.1
276000312342015;2015;276000312342015;2023-05-07;M;37.7
276000312342016;2016;276000312342016;2023-05-10;M;39.8
276000312342017;2017;276000312342017;2023-05-09;M;40.3
276000312342018;2018;276000312342018;2023-05-03;M;38.4
276000312342019;2019;276000312342019;2023-04-12;M;36.3
276000312342020;2020;276000312342020;2023-04-29;M;38.7
276000312342021;2021;276000312342021;2023-05-03;M;37.3
276000312342022;2022;276000312342022;2023-05-13;M;38.5
276000312342023;2023;276000312342023;2023-05-03;M;37.8
276000312342024;2024;276000312342024;2023-05-02;M;37.3
276000312342025;2025;276000312342025;2023-04-27;M;37.5
276000312342026;2026;276000312342026;2023-04-27;M;36.3
276000312342027;2027;276000312342027;2023-04-21;M;37.8
276000312342028;2028;276000312342028;2023-04-16;M;37.9
276000312342029;2029;276000312342029;2023-04-22;M;39.8
276000312342030;2030;276000312342030;2023-05-06;M;36.5
276000312342031;2031;276000312342031;2023-05-03;M;38.9
276000312342032;2032;276000312342032;2023-05-02;M;36.7
276000312342033;2033;276000312342033;2023-05-06;M;37.4
276000312342034;2034;276000312342034;2023-04-28;M;41.0
276000312342035;2035;276000312342035;2023-04-27;M;40.5
276000312342036;2036;276000312342036;2023-05-05;M;38.2
276000312342037;2037;276000312342037;2023-05-03;M;40.0
276000312342038;2038;276000312342038;2023-04-28;M;40.5
276000312342039;2039;276000312342039;2023-05-07;M;40.0
276000312342040;2040;276000312342040;2023-04-24;M;38.9
276000312342041;2041;276000312342041;2023-05-03;M;37.3
276000312342042;2042;276000312342042;2023-05-01;M;37.0
276000312342043;2043;276000312342043;2023-04-24;M;40.8
276000312342044;2044;276000312342044;2023-04-23;M;40.0
276000312342045;2045;276000312342045;2023-04-16;M;40.7
276000312342046;2046;276000312342046;2023-04-11;M;40.8
276000312342047;2047;276000312342047;2023-04-27;M;39.3
276000312342048;2048;276000312342048;2023-05-04;M;39.3
276000312342049;2049;276000312342049;2023-04-27;M;40.9
276000312342050;2050;276000312342050;2023-04-29;M;40.1
276000312342051;2051;276000312342051;2023-05-02;M;39.9
276000312342052;2052;276000312342052;2023-04-22;M;38.2
276000312342053;2053;276000312342053;2023-04-21;M;36.4
276000312342054;2054;276000312342054;2023-05-05;M;40.8
276000312342055;2055;276000312342055;2023-04-18;M;36.1
276000312342056;2056;276000312342056;2023-04-16;M;38.0
276000312342057;2057;276000312342057;2023-05-04;M;37.8
276000312342058;2058;276000312342058;2023-04-19;M;38.8
276000312342059;2059;276000312342059;2023-04-25;M;36.6
276000312342060;2060;276000312342060;2023-04-29;M;39.7
276000312342061;2061;276000312342061;2023-05-13;M;36.6
276000312342062;2062;276000312342062;2023-04-26;M;36.6
276000312342063;2063;276000312342063;2023-05-12;M;36.3
276000312342064;2064;276000312342064;2023-05-09;M;40.8
276000312342065;2065;276000312342065;2023-05-13;M;37.5
276000312342066;2066;276000312342066;2023-04-19;M;36.0
276000312342067;2067;276000312342067;2023-05-19;M;38.4
276000312342068;2068;276000312342068;2023-04-20;M;36.9
276000312342069;2069;276000312342069;2023-04-27;M;38.3
276000312342070;2070;276000312342070;2023-05-10;M;40.4
276000312343007;3007;276000312343007;2017-08-24;F;40.1
276000312343044;3044;276000312343044;2019-10-21;F;
276000312343065;3065;276000312343065;2018-09-22;F;
276000312343117;3117;276000312343117;2015-07-15;F;
276000312343204;3204;276000312343204;2016-08-05;F;
276000312343232;3232;276000312343232;2018-09-23;F;
276000312343308;3308;276000312343308;2019-10-15;F;
276000312343376;3376;276000312343376;2019-10-20;F;
276000312343409;3409;276000312343409;2018-09-19;F;
276000312343420;3420;276000312343420;2015-07-09;F;
276000312343505;3505;276000312343505;2018-12-12;F;
276000312343535;3535;276000312343535;2016-09-22;F;
276000312343540;3540;276000312343540;2017-11-14;F;
276000312343558;3558;276000312343558;2015-09-01;F;
276000312343587;3587;276000312343587;2017-11-15;F;
276000312343597;3597;276000312343597;2018-11-30;F;
276000312343619;3619;276000312343619;2017-10-19;F;
276000312343627;3627;276000312343627;2016-10-15;F;
276000312343721;3721;276000312343721;2014-08-09;F;
276000312343892;3892;276000312343892;2017-11-14;F;
