National-ID-Animal;Farm-ID-Animal;Date;Time;ScoreCondition;ScoreFeedIntake;ScoreScours;ScoreRespiratory
276000312341001;1001;2023-07-24;15:31:31;Yellow;Green;Green;Green
276000312341002;1002;2023-07-24;15:13:31;Yellow;Green;Green;Yellow
276000312341003;1003;2023-07-24;16:29:42;Green;Yellow;Green;Green
276000312341004;1004;2023-07-24;16:21:29;Yellow;Red;Green;Green
276000312341005;1005;2023-07-24;15:14:33;Yellow;Yellow;None;Yellow
276000312341006;1006;2023-07-24;14:43:25;Green;Green;Yellow;Yellow
276000312341007;1007;2023-07-24;15:00:55;Green;Red;Green;Yellow
276000312341008;1008;2023-07-24;14:36:23;Green;Yellow;Red;Yellow
276000312341009;1009;2023-07-24;15:30:13;Red;Red;Green;Yellow
276000312341010;1010;2023-07-24;14:49:00;Green;Green;Yellow;Green
276000312341011;1011;2023-07-24;16:07:46;Green;;Yellow;Yellow
276000312341012;1012;2023-07-24;15:59:21;Green;Red;Yellow;Green
276000312341013;1013;2023-07-24;16:39:00;None;Yellow;Yellow;None
276000312341014;1014;2023-07-24;17:08:11;Yellow;None;Yellow;None
276000312341015;1015;2023-07-24;16:19:37;Yellow;Green;Green;Green
276000312342001;2001;2023-07-24;15:53:52;Green;Green;Red;Green
276000312342002;2002;2023-07-24;15:38:03;Red;Green;None;Yellow
276000312342003;2003;2023-07-24;16:32:23;Yellow;Green;Red;Yellow
276000312342004;2004;2023-07-24;14:56:02;Yellow;Yellow;Yellow;Green
276000312342005;2005;2023-07-24;15:58:15;Green;Yellow;Green;Green
276000312342006;2006;2023-07-24;14:38:51;Green;None;Red;Red
276000312342007;2007;2023-07-24;14:57:42;;None;Red;Yellow
276000312342008;2008;2023-07-24;14:58:59;Green;Yellow;Yellow;None
276000312342009;2009;2023-07-24;14:47:50;Yellow;Yellow;Green;Green
276000312342010;2010;2023-07-24;14:44:32;Green;Green;Green;Yellow
276000312342011;2011;2023-07-24;15:20:36;Yellow;Green;Green;Yellow
276000312342012;2012;2023-07-24;15:33:48;Yellow;Green;Yellow;Green
