National-ID-Animal;Farm-ID-Animal;Date;Time;Temperature-Celsius
276000312341001;1001;2023-07-24;15:31:31;38,56
276000312341002;1002;2023-07-24;15:13:31;38,60
276000312341003;1003;2023-07-24;16:29:42;38,67
276000312341004;1004;2023-07-24;16:21:29;39,84
276000312341005;1005;2023-07-24;15:14:33;40,45
276000312341006;1006;2023-07-24;14:43:25;40,26
276000312341007;1007;2023-07-24;15:00:55;39,81
276000312341008;1008;2023-07-24;14:36:23;39,46
276000312341009;1009;2023-07-24;15:30:13;40,22
276000312341010;1010;2023-07-24;14:49:00;38,70
276000312341011;1011;2023-07-24;16:07:46;38,31
276000312341012;1012;2023-07-24;15:59:21;39,06
276000312341013;1013;2023-07-24;16:39:00;38,18
276000312341014;1014;2023-07-24;17:08:11;38,68
276000312341015;1015;2023-07-24;16:19:37;38,64
276000312342001;2001;2023-07-24;15:53:52;39,90
276000312342002;2002;2023-07-24;15:38:03;39,54
276000312342003;2003;2023-07-24;16:32:23;40,47
276000312342004;2004;2023-07-24;14:56:02;38,61
276000312342005;2005;2023-07-24;15:58:15;39,44
276000312342006;2006;2023-07-24;14:38:51;38,48
276000312342007;2007;2023-07-24;14:57:42;39,99
276000312342008;2008;2023-07-24;14:58:59;39,07
276000312342009;2009;2023-07-24;14:47:50;37,90
276000312342010;2010;2023-07-24;14:44:32;37,97
276000312342011;2011;2023-07-24;15:20:36;39,06
276000312342012;2012;2023-07-24;15:33:48;39,24
276000312342013;2013;2023-07-24;16:06:01;38,24
276000312342014;2014;2023-07-24;15:29:10;38,28
276000312342015;2015;2023-07-24;15:39:19;40,47
276000312342016;2016;2023-07-24;17:00:09;38,06
276000312342017;2017;2023-07-24;14:54:17;40,31
276000312342018;2018;2023-07-24;15:10:41;38,86
276000312342019;2019;2023-07-24;15:23:41;39,40
276000312342020;2020;2023-07-24;15:22:35;37,89
276000312342021;2021;2023-07-24;15:57:04;40,44
276000312342022;2022;2023-07-24;16:13:53;38,70
276000312342023;2023;2023-07-24;16:17:06;40,28
276000312342024;2024;2023-07-24;16:48:57;40,13
