National-ID-Animal;Farm-ID-Animal;Date;Time;Weight-Kg
276000312341001;1001;2023-07-24;15:31:31;101,0
276000312341002;1002;2023-07-24;15:13:31;79,8
276000312341003;1003;2023-07-24;16:29:42;65,7
276000312341004;1004;2023-07-24;16:21:29;111,7
276000312341005;1005;2023-07-24;15:14:33;58,3
276000312341006;1006;2023-07-24;14:43:25;125,2
276000312341007;1007;2023-07-24;15:00:55;67,4
276000312341008;1008;2023-07-24;14:36:23;120,2
276000312341009;1009;2023-07-24;15:30:13;116,7
276000312341010;1010;2023-07-24;14:49:00;82,3
276000312341011;1011;2023-07-24;16:07:46;54,7
276000312341012;1012;2023-07-24;15:59:21;125,9
276000312341013;1013;2023-07-24;16:39:00;70,1
276000312341014;1014;2023-07-24;17:08:11;40,5
276000312341015;1015;2023-07-24;16:19:37;121,3
276000312342001;2001;2023-07-24;15:53:52;80,8
276000312342002;2002;2023-07-24;15:38:03;86,8
276000312342003;2003;2023-07-24;16:32:23;121,7
276000312342004;2004;2023-07-24;14:56:02;69,8
276000312342005;2005;2023-07-24;15:58:15;100,6
276000312342006;2006;2023-07-24;14:38:51;112,5
276000312342007;2007;2023-07-24;14:57:42;45,8
276000312342008;2008;2023-07-24;14:58:59;92,6
276000312342009;2009;2023-07-24;14:47:50;57,7
276000312342010;2010;2023-07-24;14:44:32;61,2
276000312342011;2011;2023-07-24;15:20:36;44,6
276000312342012;2012;2023-07-24;15:33:48;38,5
276000312342013;2013;2023-07-24;16:06:01;81,2
276000312342014;2014;2023-07-24;15:29:10;90,9
276000312342015;2015;2023-07-24;15:39:19;99,9
276000312342016;2016;2023-07-24;17:00:09;66,6
276000312342017;2017;2023-07-24;14:54:17;41,6
276000312342018;2018;2023-07-24;15:10:41;109,7
276000312342019;2019;2023-07-24;15:23:41;112,6
276000312342020;2020;2023-07-24;15:22:35;88,0
276000312342021;2021;2023-07-24;15:57:04;106,6
276000312342022;2022;2023-07-24;16:13:53;63,0
276000312342023;2023;2023-07-24;16:17:06;101,0
276000312342024;2024;2023-07-24;16:48:57;124,0
276000312342025;2025;2023-07-24;15:12:28;91,0
276000312342026;2026;2023-07-24;15:40:57;83,2
276000312342027;2027;2023-07-24;14:30:04;77,3
276000312342028;2028;2023-07-24;17:06:31;82,9
276000312342029;2029;2023-07-24;14:32:23;126,7
276000312342030;2030;2023-07-24;15:45:03;76,9
276000312342031;2031;2023-07-24;16:52:40;80,3
276000312342032;2032;2023-07-24;15:26:29;64,5
276000312342033;2033;2023-07-24;14:35:14;98,1
276000312342034;2034;2023-07-24;15:48:05;109,5
276000312342035;2035;2023-07-24;16:27:11;87,1
276000312342036;2036;2023-07-24;15:18:49;91,4
276000312342037;2037;2023-07-24;17:03:34;49,7
276000312342038;2038;2023-07-24;16:10:54;60,0
276000312342039;2039;2023-07-24;16:40:28;49,0
276000312342040;2040;2023-07-24;14:45:52;48,9
276000312342041;2041;2023-07-24;14:52:20;41,4
276000312342042;2042;2023-07-24;16:15:20;118,8
276000312342043;2043;2023-07-24;16:25:41;116,7
276000312342044;2044;2023-07-24;16:04:58;50,9
276000312342045;2045;2023-07-24;15:46:15;83,4
276000312342046;2046;2023-07-24;14:33:46;117,9
276000312342047;2047;2023-07-24;16:59:02;66,3
276000312342048;2048;2023-07-24;16:42:10;38,4
276000312342049;2049;2023-07-24;16:03:07;122,6
276000312342050;2050;2023-07-24;15:50:03;91,9
276000312342051;2051;2023-07-24;16:12:17;97,2
276000312342052;2052;2023-07-24;14:37:45;57,8
276000312342053;2053;2023-07-24;16:55:09;96,2
276000312342054;2054;2023-07-24;15:06:24;58,2
276000312342055;2055;2023-07-24;15:52:00;59,5
276000312342056;2056;2023-07-24;16:46:05;123,3
276000312342057;2057;2023-07-24;16:24:10;70,5
276000312342058;2058;2023-07-24;16:02:00;106,6
276000312342059;2059;2023-07-24;16:47:28;53,7
276000312342060;2060;2023-07-24;16:37:05;61,6
276000312342061;2061;2023-07-24;16:09:01;68,2
276000312342062;2062;2023-07-24;15:27:52;107,3
276000312342063;2063;2023-07-24;16:53:55;81,4
276000312342064;2064;2023-07-24;16:43:26;49,9
276000312342065;2065;2023-07-24;14:50:23;37,2
276000312342066;2066;2023-07-24;16:33:34;95,5
276000312342067;2067;2023-07-24;17:05:07;56,7
276000312342068;2068;2023-07-24;15:42:22;58,9
276000312342069;2069;2023-07-24;16:50:06;66,7
276000312342070;2070;2023-07-24;14:40:05;46,3
276000312343007;3007;2023-07-24;15:15:54;102,7
276000312343044;3044;2023-07-24;15:36:12;118,1
276000312343065;3065;2023-07-24;15:32:40;44,5
276000312343117;3117;2023-07-24;14:31:10;44,5
276000312343204;3204;2023-07-24;15:09:05;87,0
276000312343232;3232;2023-07-24;15:43:51;106,1
276000312343308;3308;2023-07-24;15:03:41;51,0
276000312343376;3376;2023-07-24;17:02:03;122,8
276000312343409;3409;2023-07-24;16:22:48;114,5
276000312343420;3420;2023-07-24;16:51:27;85,7
276000312343505;3505;2023-07-24;16:35:20;58,7
276000312343535;3535;2023-07-24;15:55:49;110,1
276000312343540;3540;2023-07-24;15:07:30;61,3
276000312343558;3558;2023-07-24;14:41:30;103,8
276000312343587;3587;2023-07-24;16:00:51;109,5
276000312343597;3597;2023-07-24;15:02:30;95,3
276000312343619;3619;2023-07-24;15:17:24;37,7
